source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Clause de rechargement,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Accord entre la banque et l'emprunteur immobilier pour que l'hypothèque souscrite puisse garantir d'autres prêts que le crédit immobilier.,7da7177f-402a-4baa-9344-2689dc655b59
Clause pénale,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Clause qui engage le débiteur, en cas de manquement à une obligation contractuelle, à verser au créancier une somme d'argent dont le montant est fixé à l'avance.",a2acb965-d896-473b-be29-c95ae58b8bf0
Clause résolutoire,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Clause prévoyant la résiliation automatique du contrat en cas de manquement à une obligation contractuelle par l'une des parties (exemple : non-paiement du loyer).,dfbd7700-533f-4e3b-a748-b5c7fefc878a
Collatéral,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Frères, sœurs d'une personne et enfants de ces derniers (collatéraux privilégiés) ainsi qu'oncles, tantes, cousins, cousines (collatéraux ordinaires).",cf3faa3c-f035-4d74-991c-e846380546b1
Collectivité territoriale,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Communes, départements, régions, collectivités à statut particulier et collectivités d'outre-mer.",998a8610-64d5-46d7-bf50-0fbdf5d9ccab
Collectivités et territoires d'outre-mer (Com et Tom),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Nouvelle-Calédonie (statut particulier) - Polynésie française - Saint-Barthélemy - Saint-Martin - Saint-Pierre-et-Miquelon - Terres australes et antarctiques françaises (statut particulier) - Wallis-et-Futuna.,18722a1f-e1f6-4766-9b9f-f552bd535a9a
Columbarium,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Lieu (édifice, bâtiment) comprenant des cases destinées à recevoir des urnes funéraires.",17980090-dee4-475b-8411-38bf8ccfd7c5
Commandement de payer,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Acte généralement signifié par commissaire de justice ordonnant à une personne d'exécuter ses obligations (par exemple, régler des loyers impayés).",273f682d-9cf9-4ad8-a80f-0bc23e2aa357
Commissaire de justice (1),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Le commissaire de justice (anciennement huissier de justice) est chargé, à la demande d'une personne ou du tribunal, d'assigner une personne en justice, de lui notifier officiellement des jugements, etc. Il intervient aussi dans certaines audiences pour appeler les parties et assurer le bon déroulement du procès sous l'autorité du juge.",fcc7380b-ac36-4d89-966e-e8e71a134921
Commissaire de justice (2),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Les commissaires de justice sont des officiers publics et ministériels. Ils exercent les missions qui étaient auparavant exercées par l'huissier de justice et par le commissaire-priseur judiciaire. Professionnels titulaires d'un office à qui l’État a délégué des prérogatives de puissance publique (ex. : ordonner à l'employeur d'une personne condamnée de verser des dommages et intérêts par saisie sur salaire).,e9e115a8-100e-4ed5-b3d6-095ea5085d0b
Commission d'indemnisation des victimes (CIVI),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Lorsque des victimes d'infraction pénale n'ont pu obtenir d'indemnités par l'auteur de l'infraction ou par d'autres organismes, la CIVI peut leur en accorder.",0da9fb8d-75b0-4425-8bf6-35a2e0fd6a28
Commission rogatoire internationale,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Mission donnée par un juge à toute autorité judiciaire relevant d'un autre État, de procéder, en son nom, à des mesures d'instruction ou à d'autres actes judiciaires.",e3ad13eb-af5a-481a-9024-ca341eb65843
